run_id,timestamp,epoch,build_order,phase,template,site_code,target,seconds,note
1789913904-1669380,2026-09-21T07:04:52+02:00,1789967092,parallel,build,42_siwil,42_siwil,ipq40xx-generic,480,
1789913904-1669380,2026-09-21T07:06:16+02:00,1789967176,parallel,build,45_brsd,45_brsd,mpc85xx-p1010,400,
1789913904-1669380,2026-09-21T07:08:01+02:00,1789967281,parallel,build,32_lvrnw-key,32_lvrnw,ath79-generic,570,
1789913904-1669380,2026-09-21T07:10:00+02:00,1789967400,parallel,build,42_siwil,42_siwil,x86-generic,505,
1789913904-1669380,2026-09-21T07:11:11+02:00,1789967471,parallel,build,46_odth-key,46_odth,bcm27xx-bcm2711,441,
1789913904-1669380,2026-09-21T07:11:56+02:00,1789967516,parallel,build,45_brsd-key,45_brsd,ipq806x-generic,428,
1789913904-1669380,2026-09-21T07:12:38+02:00,1789967558,parallel,build,46_odth,46_odth,ramips-mt7620,470,
1789913904-1669380,2026-09-21T07:12:53+02:00,1789967573,parallel,build,44_llng,44_llng,mediatek-filogic,478,
1789913904-1669380,2026-09-21T07:13:02+02:00,1789967582,parallel,build,43_bggl-key,43_bggl,ipq40xx-generic,486,
1789913904-1669380,2026-09-21T07:14:04+02:00,1789967644,parallel,build,46_odth-key,46_odth,mpc85xx-p1010,461,
1789913904-1669380,2026-09-21T07:18:06+02:00,1789967886,parallel,build,43_bggl-key,43_bggl,x86-generic,454,
1789913904-1669380,2026-09-21T07:18:22+02:00,1789967902,parallel,build,46_odth,46_odth,bcm27xx-bcm2711,419,
1789913904-1669380,2026-09-21T07:18:57+02:00,1789967937,parallel,build,45_brsd,45_brsd,ipq806x-generic,385,
1789913904-1669380,2026-09-21T07:19:05+02:00,1789967945,parallel,build,47_roes-key,47_roes,ramips-mt7620,382,
1789913904-1669380,2026-09-21T07:19:10+02:00,1789967950,parallel,build,32_lvrnw,32_lvrnw,ath79-generic,611,
1789913904-1669380,2026-09-21T07:20:29+02:00,1789968029,parallel,build,45_brsd-key,45_brsd,mediatek-filogic,452,
1789913904-1669380,2026-09-21T07:21:05+02:00,1789968065,parallel,build,43_bggl,43_bggl,ipq40xx-generic,478,
1789913904-1669380,2026-09-21T07:21:37+02:00,1789968097,parallel,build,46_odth,46_odth,mpc85xx-p1010,427,
1789913904-1669380,2026-09-21T07:25:31+02:00,1789968331,parallel,build,47_roes-key,47_roes,bcm27xx-bcm2711,420,
